Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
469,38755.7220,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
470,38818.8360,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
471,38875.0540,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
472,38934.9380,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
473,38994.4820,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
474,39055.9290,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
475,39114.6930,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
476,39171.1050,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
477,39228.2530,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
478,39286.2200,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
479,39343.5250,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
480,39397.6520,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
481,39456.2840,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
482,39512.5970,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
483,39571.5990,3.52e+12,1.0,0.0,3310.889778954976,1909.3963550707895,1.30e+05,194469.2891273689,18139.136691066105,0.0,1.3741828193706095e-06,0.6259568313828072,0.6825583999045274,0.6088877440000057,0.3308406136149875,1.4401890444060208,0.0,1683.0,1235.0,
484,39630.6470,3.52e+12,1.0,0.0,3310.889778954976,1909.3963550707895,1.30e+05,194469.2891273689,18139.136691066105,0.0,1.3741828193706095e-06,0.6259568313828072,0.6825583999045274,0.6088877440000057,0.3308406136149875,1.4401890444060208,0.0,1683.0,1235.0,
