Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
381,41820.4260,1.93e+11,1.0,1585.9043987321031,1.39e+05,456484.7686947993,505.53462660894553,9.660325871154951e-06,0.4119323082282516,0.10137586234014855,3.352051822124161,0.0,1180.0,
382,41868.2370,1.93e+11,1.0,1584.1035318207587,1.39e+05,456052.12731445197,505.55989379367134,9.617997267981189e-06,0.4117106549719908,0.10136673611435287,3.353553691445505,0.0,1180.0,
383,41917.7310,1.91e+11,1.0,1585.315808017483,1.39e+05,455610.993365776,503.76460535460524,9.588842961787201e-06,0.4105570935668248,0.10145421689348269,3.357739098552777,0.0,1180.0,
384,41970.5000,1.91e+11,1.0,1586.7673100003658,1.39e+05,455466.56902741594,503.0322057523869,9.588744495398385e-06,0.409954527943056,0.10151126722754483,3.359760037988253,0.0,1180.0,
385,42023.6060,1.92e+11,1.0,1585.1586278515867,1.39e+05,455556.7716073219,504.3142699855995,9.570340384575704e-06,0.41061577303657326,0.1014522868219396,3.3577021739576542,0.0,1180.0,
386,42077.8850,1.92e+11,1.0,1585.1586278515867,1.39e+05,455556.7716073219,504.3142699855995,9.570340384575704e-06,0.41061577303657326,0.1014522868219396,3.3577021739576542,0.0,1180.0,
387,42130.0860,1.91e+11,1.0,1585.6690770570162,1.39e+05,455238.32205200044,503.94278014835027,9.563856807273144e-06,0.4099958173004594,0.10151186232015419,3.3601747740305514,0.0,1180.0,
388,42182.1920,1.92e+11,1.0,1584.2971202225406,1.39e+05,455397.7962748947,504.9021666703198,9.557415542553641e-06,0.4106497882392739,0.10145222944011345,3.357978830734924,0.0,1180.0,
389,42233.3040,1.91e+11,1.0,1584.0918220259728,1.39e+05,454981.04180890543,504.81581904726414,9.545509712336763e-06,0.41012309393433666,0.10148575656282119,3.3603446642404755,0.0,1180.0,
390,42288.4300,1.91e+11,1.0,1583.0618713995536,1.39e+05,454871.56261873397,505.565768329034,9.539825622844878e-06,0.4102989633625206,0.10146950642674399,3.3600977142251187,0.0,1180.0,
391,42339.6900,1.92e+11,1.0,1582.0802835742782,1.39e+05,454770.52145766525,505.9893961751661,9.53635571436853e-06,0.41043797165676077,0.10144696946299644,3.3598999180857705,0.0,1180.0,
392,42388.9260,1.91e+11,1.0,1583.6125892865944,1.39e+05,454844.8219306511,504.93836459250656,9.536195668764586e-06,0.4100642406500025,0.10148172505643391,3.360784189631733,0.0,1180.0,
393,42440.2330,1.92e+11,1.0,1580.7333271551286,1.39e+05,454591.91628243716,506.49207614777,9.518801678632515e-06,0.41060427677224376,0.10140223301149791,3.3597254242652355,0.0,1180.0,
394,42492.0340,1.92e+11,1.0,1579.3773168180483,1.39e+05,454346.2588791369,506.8128649538196,9.515857705001946e-06,0.4106306815676813,0.10137273794511686,3.3601081726327338,0.0,1180.0,
395,42536.6490,1.92e+11,1.0,1580.3612677075366,1.39e+05,454481.2897363364,506.368900786091,9.509894733315237e-06,0.4105353474045629,0.1013911039404905,3.3601056890753993,0.0,1180.0,
396,42588.5520,1.92e+11,1.0,1580.3612677075366,1.39e+05,454481.2897363364,506.368900786091,9.509894733315237e-06,0.4105353474045629,0.1013911039404905,3.3601056890753993,0.0,1180.0,
397,42639.2760,1.92e+11,1.0,1579.3640283517955,1.39e+05,454464.56373539625,506.64984426464866,9.493478862256699e-06,0.41082065370034226,0.10133669023324254,3.359236183908246,0.0,1180.0,
398,42690.7140,1.93e+11,1.0,1577.1277907080082,1.39e+05,454180.9682450613,507.1117840844462,9.484082521666652e-06,0.4110872631842429,0.10124577572985269,3.3588806068487855,0.0,1180.0,
399,42741.2430,1.93e+11,1.0,1577.6897967974664,1.39e+05,454258.39729459427,507.1869766354109,9.47212776871779e-06,0.41107462668252537,0.10126234193489474,3.3587948535537167,0.0,1180.0,
400,42795.0640,1.93e+11,1.0,1577.6897967974664,1.39e+05,454258.39729459427,507.1869766354109,9.47212776871779e-06,0.41107462668252537,0.10126234193489474,3.3587948535537167,0.0,1180.0,
401,42846.5410,1.92e+11,1.0,1577.9222366020908,1.39e+05,454074.3806583324,506.87764998185673,9.462772363410864e-06,0.4107690460726997,0.10127124222148291,3.359995990493254,0.0,1180.0,
402,42913.2900,1.92e+11,1.0,1578.6687140998336,1.39e+05,454127.8567310729,506.80161512420943,9.457853354842066e-06,0.4106645363166036,0.10129468953839613,3.360217066686233,0.0,1180.0,
403,42962.0890,1.92e+11,1.0,1578.6687140998336,1.39e+05,454127.8567310729,506.80161512420943,9.457853354842066e-06,0.4106645363166036,0.10129468953839613,3.360217066686233,0.0,1180.0,
404,43012.4160,1.92e+11,1.0,1578.6687140998336,1.39e+05,454127.8567310729,506.80161512420943,9.457853354842066e-06,0.4106645363166036,0.10129468953839613,3.360217066686233,0.0,1180.0,
405,43062.2950,1.91e+11,1.0,1580.7615265717259,1.39e+05,454074.3576928434,505.67866589994094,9.388944399774426e-06,0.4099076860154921,0.10133748502961676,3.362525203426739,0.0,1180.0,
406,43115.0410,1.91e+11,1.0,1580.7615265717259,1.39e+05,454074.3576928434,505.67866589994094,9.388944399774426e-06,0.4099076860154921,0.10133748502961676,3.362525203426739,0.0,1180.0,
407,43168.9210,1.91e+11,1.0,1578.3766147271613,1.39e+05,453716.9027232311,506.1990337396386,9.378734711402181e-06,0.41006538051807495,0.10126099886687366,3.362687278934396,0.0,1180.0,
408,43219.4090,1.91e+11,1.0,1577.6438254199181,1.39e+05,453478.95640345995,506.5933870357961,9.318044707753961e-06,0.4098864674366091,0.10125381551606882,3.3637502976778304,0.0,1180.0,
409,43271.2230,1.92e+11,1.0,1575.050854705001,1.39e+05,453326.4583325809,507.97876391274315,9.179341541595766e-06,0.41018528572621366,0.10123935954147839,3.3635194131474457,0.0,1180.0,
